DATE,MATCH,BET,ODDS,BOOKMAKER,STAKE,RESULT,RETURN,STARTING BALANCE,SETTLEMENT_RULE,MODEL_VERSION,MODEL_PROBABILITY,EV,GRADE,EVENT_ID,TOUR,SURFACE,AUTHORIZED_AT,CLOSING_ODDS,CLV,BRIER_SCORE
2026-07-29,Landaluce vs Zheng,Landaluce,2.22,,1.80,,,60.00,,,,,,,,,,,,
2026-07-29,Gea vs Kwon,Gea,2.09,,1.20,,,60.00,,,,,,,,,,,,
2026-07-30,"Gea, Arthur vs Zheng, Michael (ATP - Los Cabos, Mexico)","Gea, Arthur to win",2.50,,1.14,,,57.00,,,,,,,,,,,,
2026-07-31,Shinji Hazawa vs Moerani Bouzige (Tennis - ITF Men Brisbane - QF),Shinji Hazawa to win,2.25,,1.68,L,0.00,55.86,,,,,,,,,,,,
2026-07-31,Ryuki Matsuda vs Isaac Becroft (Tennis - ITF Men Bali - QF),Ryuki Matsuda to win,2.20,,1.08,L,0.00,54.18,,,,,,,,,,,,
2026-08-02,"Diallo, Gabriel vs Jacquet, Kyrian (ATP - Montreal, Canada)","Jacquet, Kyrian to win",2.10,Bet365,1.59,,,53.10,,tennis-2026.08-bookmaker-retirement-rules-v1,0.538735,0.131343,Top Pick,73352320,ATP,,2026-08-02T22:26:14.728548+00:00,,,
2026-08-03,"Putintseva, Yulia vs Zhang, Shuai (WTA - Toronto, Canada)","Zhang, Shuai to win",2.75,Bet365,1.16,,,51.51,,tennis-2026.08-bookmaker-retirement-rules-v1,0.421060,0.157915,Top Pick,73325210,WTA,,2026-08-03T17:23:55.145166+00:00,,,
2026-08-03,"Valentova, Tereza vs Townsend, Taylor (WTA - Toronto, Canada)","Townsend, Taylor to win",2.75,Bet365,1.51,,,50.35,,tennis-2026.08-bookmaker-retirement-rules-v1,0.459639,0.264009,Top Pick,73325192,WTA,,2026-08-03T19:03:46.273869+00:00,,,
2026-08-04,"Cerundolo, Juan Manuel vs Medjedovic, Hamad (ATP - Montreal, Canada)","Cerundolo, Juan Manuel to win",2.38,Unibet,1.30,,,48.84,,tennis-2026.08-bookmaker-retirement-rules-v1,0.481745,0.146552,Top Pick,73325026,ATP,,2026-08-04T17:11:34.005522+00:00,,,
2026-08-05,"Simakin, Ilia vs Sun, Fajing (Challenger - Istanbul 2, Turkiye)","Sun, Fajing to win",2.50,Bet365,0.85,,,47.54,,tennis-2026.08-bookmaker-retirement-rules-v1,0.442930,0.107324,Top Pick,73255244,Challenger,grass,2026-08-05T10:29:05.223464+00:00,,,
2026-08-07,"Moller, Elmer vs Taberner, Carlos (Challenger - Hagen, Germany)","Taberner, Carlos to win",2.63,Unibet,1.40,,,46.69,,tennis-2026.08-bookmaker-retirement-rules-v1,0.458447,0.205716,Top Pick,73251080,Challenger,grass,2026-08-07T13:48:03.993242+00:00,,,
2026-08-08,"Kym, Jerome vs Moller, Elmer (Challenger - Hagen, Germany)","Moller, Elmer to win",2.62,Bet365,0.86,,,45.29,,tennis-2026.08-bookmaker-retirement-rules-v1,0.428723,0.123253,Top Pick,73251070,Challenger,grass,2026-08-08T10:59:21.810990+00:00,,,
