DATE,MATCH,PLAYER1,PLAYER2,PICK,TOURNAMENT,SURFACE,START_TIME,EVENT_ID,GRADE,ODDS_MIN,ODDS_MAX,DISCOVERY_ODDS,DISCOVERY_PROBABILITY,DISCOVERY_EV,DISCOVERED_AT,MODE,STATUS,REASON,FINAL_ODDS,FINAL_PROBABILITY,FINAL_EV,FINAL_BOOKMAKERS,FINAL_SOURCE,REVALIDATED_AT,PRICE_MOVEMENT,PRICE_VELOCITY_PER_HOUR,PRICE_ACCELERATION_PER_HOUR2,PRICE_SNAPSHOT_COUNT,PRICE_AGE_MINUTES,PRICE_STALE,AUTH_MARKET_DISPERSION,MARKET_LIMIT_POLICY_ID,MARKET_LIMIT_POLICY_SAMPLE,MARKET_LIMIT_POLICY_HOLDOUT,MARKET_LIMIT_MOVEMENT,MARKET_LIMIT_DISPERSION,MARKET_LIMIT_PROMOTED
2026-08-02,"Baez, Sebastian vs Bellucci, Mattia","Baez, Sebastian","Bellucci, Mattia","Baez, Sebastian","ATP - Montreal, Canada",,2026-08-02T14:30:00Z,73325024,Top Pick,1.5,2.5,2.000,0.545308,0.090615,2026-08-01T18:10:51.280305+00:00,live,cancelled,stale_price,,,,,,2026-08-02T14:25:29.603549+00:00,,,,1,1214.639,True,,static-market-v1,0,0,0.100000,0.120000,False
2026-08-02,"Fucsovics, Marton vs Moutet, Corentin","Fucsovics, Marton","Moutet, Corentin","Fucsovics, Marton","ATP - Montreal, Canada",,2026-08-02T14:30:00Z,73325018,Value Pick,1.5,2.5,2.070,0.519961,0.076319,2026-08-01T18:10:51.280305+00:00,live,cancelled,stale_price,,,,,,2026-08-02T14:25:29.603549+00:00,,,,1,1214.639,True,,static-market-v1,0,0,0.100000,0.120000,False
2026-08-02,"Diallo, Gabriel vs Jacquet, Kyrian","Diallo, Gabriel","Jacquet, Kyrian","Jacquet, Kyrian","ATP - Montreal, Canada",,2026-08-02T23:00:00Z,73352320,Top Pick,1.5,3.0,2.100,0.538735,0.131343,2026-08-02T20:28:10.278071+00:00,live,authorized,pre_match_validated,2.100,0.538735,0.131343,2,Unibet/Bet365,2026-08-02T22:26:03.468983+00:00,0.000000,0.000000,,2,0.000,False,0.058824,static-market-v1,0,0,0.100000,0.120000,False
2026-08-02,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson","Tararudee, Lanlana","Jones, Emerson","WTA - Toronto, Canada",,2026-08-02T21:20:00Z,73356502,Top Pick,1.5,3.0,2.550,0.437741,0.116239,2026-08-02T20:28:10.278071+00:00,live,cancelled,stale_price,,,,,,2026-08-02T21:23:58.334702+00:00,,,,1,55.801,True,,static-market-v1,0,0,0.100000,0.120000,False
2026-08-02,"Gibson, Talia vs Cocciaretto, Elisabetta","Gibson, Talia","Cocciaretto, Elisabetta","Gibson, Talia","WTA - Toronto, Canada",,2026-08-02T22:30:00Z,73325208,Value Pick,1.5,3.0,2.200,0.483994,0.064786,2026-08-02T20:28:10.278071+00:00,live,cancelled,uncertainty_adjusted_edge_too_low,,,,,,2026-08-02T21:23:58.334702+00:00,0.000000,0.000000,,2,0.000,False,0.000000,static-market-v1,0,0,0.100000,0.120000,False
2026-08-03,"Valentova, Tereza vs Townsend, Taylor","Valentova, Tereza","Townsend, Taylor","Townsend, Taylor","WTA - Toronto, Canada",,2026-08-03T20:00:00Z,73325192,Top Pick,1.5,3.0,2.750,0.459639,0.264009,2026-08-03T09:40:05.495616+00:00,live,authorized,pre_match_validated,2.750,0.459639,0.264009,2,Unibet/Bet365,2026-08-03T19:03:37.912652+00:00,0.000000,0.000000,,2,0.000,False,0.056075,static-market-v1,0,0,0.100000,0.120000,False
2026-08-03,"Jones, Emerson vs Tararudee, Lanlana","Jones, Emerson","Tararudee, Lanlana","Jones, Emerson","WTA - Toronto, Canada",,2026-08-03T17:40:00Z,73356502,Top Pick,1.5,3.0,3.000,0.420755,0.262265,2026-08-03T09:40:05.495616+00:00,live,cancelled,insufficient_bookmakers,,,,,,2026-08-03T17:23:44.225853+00:00,-0.116667,-0.015098,,2,0.000,False,0.000000,static-market-v1,0,0,0.100000,0.120000,False
2026-08-03,"Mejia, Nicolas vs Landaluce, Martin","Mejia, Nicolas","Landaluce, Martin","Mejia, Nicolas","ATP - Montreal, Canada",,2026-08-03T15:00:00Z,73352326,Value Pick,1.5,3.0,3.000,0.356988,0.070963,2026-08-03T09:40:05.495616+00:00,live,cancelled,match_started,,,,,,2026-08-03T15:23:43.493002+00:00,,,,,,,,,,,,,
2026-08-03,"Korneeva, Alina vs Kudermetova, Polina","Korneeva, Alina","Kudermetova, Polina","Kudermetova, Polina","WTA - Toronto, Canada",,2026-08-03T15:00:00Z,73356486,Top Pick,1.5,3.0,2.750,0.426037,0.171601,2026-08-03T14:16:24.784843+00:00,live,cancelled,match_started,,,,,,2026-08-03T15:23:43.493002+00:00,,,,,,,,,,,,,
2026-08-03,"Putintseva, Yulia vs Zhang, Shuai","Putintseva, Yulia","Zhang, Shuai","Zhang, Shuai","WTA - Toronto, Canada",,2026-08-03T17:40:00Z,73325210,Top Pick,1.5,3.0,2.750,0.421060,0.157915,2026-08-03T14:16:24.784843+00:00,live,authorized,pre_match_validated,2.750,0.421060,0.157915,2,Unibet/Bet365,2026-08-03T17:23:44.225853+00:00,0.000000,0.000000,,2,0.000,False,0.037037,static-market-v1,0,0,0.100000,0.120000,False
