PROVIDER_NAME,NORMALIZED_NAME,SUGGESTED_CANONICAL,SUGGESTED_CONFIDENCE,ALTERNATIVES,REASON,STATUS,REVIEWED_CANONICAL,CREATED_AT,UPDATED_AT
"Read, Hannah",hannahread,,,,no_candidate,pending,,2026-08-01T17:56:24.998217+00:00,2026-08-01T17:56:24.998217+00:00
"Smekalova, Magdalena",magdalenasmekalova,,,,no_candidate,pending,,2026-08-01T17:56:25.013200+00:00,2026-08-01T17:56:25.013200+00:00
"Kis Czako, Eszter",eszterkisczako,,,,no_candidate,pending,,2026-08-01T17:56:25.024651+00:00,2026-08-01T17:56:25.024651+00:00
"Dunda, Karina",karinadunda,,,,no_candidate,pending,,2026-08-01T17:56:25.034708+00:00,2026-08-01T17:56:25.034708+00:00
"Kalinina, Anhelina",anhelinakalinina,,,,no_candidate,pending,,2026-08-01T17:56:25.067367+00:00,2026-08-01T17:56:25.067367+00:00
"Bondar, Anna",annabondar,,,,no_candidate,pending,,2026-08-01T17:56:25.077170+00:00,2026-08-01T17:56:25.077170+00:00
"Merida, Daniel",danielmerida,Daniel Merida Aguilar,0.774,,low_confidence,pending,,2026-08-01T17:56:25.087882+00:00,2026-08-01T17:56:25.087882+00:00
"Tjen, Janice",janicetjen,,,,no_candidate,pending,,2026-08-01T17:56:25.099581+00:00,2026-08-01T17:56:25.099581+00:00
"Samsonova, Liudmila",liudmilasamsonova,,,,no_candidate,pending,,2026-08-01T17:56:25.111984+00:00,2026-08-01T17:56:25.111984+00:00
"Wang, Xinyu",xinyuwang,,,,no_candidate,pending,,2026-08-01T17:56:25.120328+00:00,2026-08-01T17:56:25.120328+00:00
"Kasatkina, Daria",dariakasatkina,,,,no_candidate,pending,,2026-08-01T17:56:25.131874+00:00,2026-08-01T17:56:25.131874+00:00
"Udvardy, Panna",pannaudvardy,,,,no_candidate,pending,,2026-08-01T17:56:25.141765+00:00,2026-08-01T17:56:25.141765+00:00
"Lys, Eva",evalys,,,,no_candidate,pending,,2026-08-01T17:56:25.150195+00:00,2026-08-01T17:56:25.150195+00:00
"Zarazua, Renata",renatazarazua,,,,no_candidate,pending,,2026-08-01T17:56:25.160739+00:00,2026-08-01T17:56:25.160739+00:00
"Korpatsch, Tamara",tamarakorpatsch,,,,no_candidate,pending,,2026-08-01T17:56:25.172864+00:00,2026-08-01T17:56:25.172864+00:00
"Valentova, Tereza",terezavalentova,,,,no_candidate,pending,,2026-08-01T17:56:25.185273+00:00,2026-08-01T17:56:25.185273+00:00
"Townsend, Taylor",taylortownsend,,,,no_candidate,pending,,2026-08-01T17:56:25.197461+00:00,2026-08-01T17:56:25.197461+00:00
"Wang, Xiyu",xiyuwang,,,,no_candidate,pending,,2026-08-01T17:56:25.205664+00:00,2026-08-01T17:56:25.205664+00:00
"Bejlek, Sara",sarabejlek,,,,no_candidate,pending,,2026-08-01T17:56:25.215526+00:00,2026-08-01T17:56:25.215526+00:00
"Birrell, Kimberly",kimberlybirrell,,,,no_candidate,pending,,2026-08-01T17:56:25.226830+00:00,2026-08-01T17:56:25.226830+00:00
"Golubic, Viktorija",viktorijagolubic,,,,no_candidate,pending,,2026-08-01T17:56:25.238588+00:00,2026-08-01T17:56:25.238588+00:00
"Bartunkova, Nikola",nikolabartunkova,,,,no_candidate,pending,,2026-08-01T17:56:25.251075+00:00,2026-08-01T17:56:25.251075+00:00
"Andreescu, Bianca",biancaandreescu,,,,no_candidate,pending,,2026-08-01T17:56:25.263617+00:00,2026-08-01T17:56:25.263617+00:00
"Ruse, Elena-Gabriela",elenagabrielaruse,,,,no_candidate,pending,,2026-08-01T17:56:25.276418+00:00,2026-08-01T17:56:25.276418+00:00
"Stearns, Peyton",peytonstearns,,,,no_candidate,pending,,2026-08-01T17:56:25.287425+00:00,2026-08-01T17:56:25.287425+00:00
"Gibson, Talia",taliagibson,,,,no_candidate,pending,,2026-08-01T17:56:25.298031+00:00,2026-08-01T17:56:25.298031+00:00
"Cocciaretto, Elisabetta",elisabettacocciaretto,,,,no_candidate,pending,,2026-08-01T17:56:25.326178+00:00,2026-08-01T17:56:25.326178+00:00
"Putintseva, Yulia",yuliaputintseva,,,,no_candidate,pending,,2026-08-01T17:56:25.337792+00:00,2026-08-01T17:56:25.337792+00:00
"Zhang, Shuai",shuaizhang,,,,no_candidate,pending,,2026-08-01T17:56:25.347040+00:00,2026-08-01T17:56:25.347040+00:00
